Open time,open_price,close_price,volume,Close time
2022-03-22,41002.26000000,42364.13000000,59454.94294000,2022-03-22 23:59:59.999
2022-03-23,42364.13000000,42882.76000000,40828.87039000,2022-03-23 23:59:59.999
2022-03-24,42882.76000000,43991.46000000,56195.12374000,2022-03-24 23:59:59.999
2022-03-25,43991.46000000,44313.16000000,54614.43648000,2022-03-25 23:59:59.999
2022-03-26,44313.16000000,44511.27000000,23041.61741000,2022-03-26 23:59:59.999
2022-03-27,44511.27000000,46827.76000000,41874.91071000,2022-03-27 23:59:59.999
2022-03-28,46827.76000000,47122.21000000,58949.26140000,2022-03-28 23:59:59.999
2022-03-29,47122.21000000,47434.80000000,36772.28457000,2022-03-29 23:59:59.999
2022-03-30,47434.79000000,47067.99000000,40947.20850000,2022-03-30 23:59:59.999
2022-03-31,47067.99000000,45510.34000000,48645.12667000,2022-03-31 23:59:59.999
2022-04-01,45510.35000000,46283.49000000,56271.06474000,2022-04-01 23:59:59.999
2022-04-02,46283.49000000,45811.00000000,37073.53582000,2022-04-02 23:59:59.999
2022-04-03,45810.99000000,46407.35000000,33394.67794000,2022-04-03 23:59:59.999
2022-04-04,46407.36000000,46580.51000000,44641.87514000,2022-04-04 23:59:59.999
2022-04-05,46580.50000000,45497.55000000,42192.74852000,2022-04-05 23:59:59.999
2022-04-06,45497.54000000,43170.47000000,60849.32936000,2022-04-06 23:59:59.999
2022-04-07,43170.47000000,43444.19000000,37396.54156000,2022-04-07 23:59:59.999
2022-04-08,43444.20000000,42252.01000000,42375.04203000,2022-04-08 23:59:59.999
2022-04-09,42252.02000000,42753.97000000,17891.66047000,2022-04-09 23:59:59.999
2022-04-10,42753.96000000,42158.85000000,22771.09403000,2022-04-10 23:59:59.999
2022-04-11,42158.85000000,39530.45000000,63560.44721000,2022-04-11 23:59:59.999
2022-04-12,39530.45000000,40074.94000000,57751.01778000,2022-04-12 23:59:59.999
2022-04-13,40074.95000000,41147.79000000,41342.27254000,2022-04-13 23:59:59.999
2022-04-14,41147.78000000,39942.38000000,36807.01401000,2022-04-14 23:59:59.999
2022-04-15,39942.37000000,40551.90000000,24026.35739000,2022-04-15 23:59:59.999
2022-04-16,40551.90000000,40378.71000000,15805.44718000,2022-04-16 23:59:59.999
2022-04-17,40378.70000000,39678.12000000,19988.49259000,2022-04-17 23:59:59.999
2022-04-18,39678.11000000,40801.13000000,54243.49575000,2022-04-18 23:59:59.999
2022-04-19,40801.13000000,41493.18000000,35788.85843000,2022-04-19 23:59:59.999
2022-04-20,41493.19000000,41358.19000000,40877.35041000,2022-04-20 23:59:59.999
2022-04-21,41358.19000000,40480.01000000,59316.27657000,2022-04-21 23:59:59.999
2022-04-22,40480.01000000,39709.18000000,46664.01960000,2022-04-22 23:59:59.999
2022-04-23,39709.19000000,39441.60000000,20291.42375000,2022-04-23 23:59:59.999
2022-04-24,39441.61000000,39450.13000000,26703.61186000,2022-04-24 23:59:59.999
2022-04-25,39450.12000000,40426.08000000,63037.12784000,2022-04-25 23:59:59.999
2022-04-26,40426.08000000,38112.65000000,66650.25800000,2022-04-26 23:59:59.999
2022-04-27,38112.64000000,39235.72000000,57083.12272000,2022-04-27 23:59:59.999
2022-04-28,39235.72000000,39742.07000000,56086.67150000,2022-04-28 23:59:59.999
2022-04-29,39742.06000000,38596.11000000,51453.65715000,2022-04-29 23:59:59.999
2022-04-30,38596.11000000,37630.80000000,35321.18989000,2022-04-30 23:59:59.999
2022-05-01,37630.80000000,38468.35000000,38812.24104000,2022-05-01 23:59:59.999
2022-05-02,38468.35000000,38525.16000000,53200.92628000,2022-05-02 23:59:59.999
2022-05-03,38525.16000000,37728.95000000,40316.45358000,2022-05-03 23:59:59.999
2022-05-04,37728.95000000,39690.00000000,62574.61736000,2022-05-04 23:59:59.999
2022-05-05,39690.00000000,36552.97000000,88722.43355000,2022-05-05 23:59:59.999
2022-05-06,36552.97000000,36013.77000000,68437.80187000,2022-05-06 23:59:59.999
2022-05-07,36013.77000000,35472.39000000,34281.70682000,2022-05-07 23:59:59.999
2022-05-08,35472.40000000,34038.40000000,72445.64344000,2022-05-08 23:59:59.999
2022-05-09,34038.39000000,30076.31000000,191876.92642800,2022-05-09 23:59:59.999
2022-05-10,30074.23000000,31017.10000000,165532.00311000,2022-05-10 23:59:59.999
2022-05-11,31017.11000000,29103.94000000,207063.73927800,2022-05-11 23:59:59.999
2022-05-12,29103.94000000,29029.75000000,204507.26313800,2022-05-12 23:59:59.999
2022-05-13,29029.74000000,29287.05000000,97872.36957000,2022-05-13 23:59:59.999
2022-05-14,29287.05000000,30086.74000000,51095.87863000,2022-05-14 23:59:59.999
2022-05-15,30086.74000000,31328.89000000,46275.66912000,2022-05-15 23:59:59.999
2022-05-16,31328.89000000,29874.01000000,73082.19658000,2022-05-16 23:59:59.999
2022-05-17,29874.01000000,30444.93000000,56724.13307000,2022-05-17 23:59:59.999
2022-05-18,30444.93000000,28715.32000000,59749.15799000,2022-05-18 23:59:59.999
2022-05-19,28715.33000000,30319.23000000,67877.36415000,2022-05-19 23:59:59.999
2022-05-20,30319.22000000,29201.01000000,60517.25325000,2022-05-20 23:59:59.999
2022-05-21,29201.01000000,29445.06000000,20987.13124000,2022-05-21 23:59:59.999
2022-05-22,29445.07000000,30293.94000000,36158.98748000,2022-05-22 23:59:59.999
